name,governorate_id
 القاهرة الجديدة,1
6 اكتوبر,1
العبور,1
مدينة الشيخ زايد,1
 مصر الجديدة,1
 مدينة نصر,1
 المعادي,1
 الشروق وهليوبليس,1
 الهضبة الوسطى,1
 الرحاب ومدينتي,1
 فيصل,1
 طريق اسكندرية ,1
 الزمالك,1
 المهندسين,1
 الدقي,1
 الهرم,1
 حي الجيزة,1
 المقطم,1
 حلوان,1
 عين شمس,1
 مدينة بدر,1
 العاشر من رمضان,1
 جاردن سيتي,1
 وسط البلد,1
 الزيتون,1
 حدائق القبة,1
 حدائق الاهرام,1
 شبرا,1
 إمبابة,1
 العجوزة,1
 المنيل,1
 العباسية,1
 15 مايو,1
 أحياء أخرى,1
 المطرية,1
 العاصمة الإداري,1
 سموحة,2
 رشدي,2
 سان استيفان,2
 ميامي,2
 كفر عبده,2
 سيدي جابر,2
 لوران,2
 فيكتوريا,2
 سيدي بشر ,2
 الهانوفيل,2
 برج العرب,2
 البيطاش,2
 كامب شيزار,2
 السيوف ,2
 جليم,2
 أبوقير,2
 المندرة,2
 العصافرة,2
 محرم بك,2
 الإبراهيمية,2
 فلمنج,2
 ستانلي,2
 بولكلي,2
 زيزينيا,2
 باكوس,2
 جناكليس,2
 المعمورة,2
 سبورتنج,2
 سابا باشا,2
 الحضرة,2
 الشاطبي,2
 كينج مريوط,2
 كليوباترا,2
 المنشية,2
 بحرى - الأن,2
 المنتزه,2
 العامرية,2
 شاطئ النخيل,2
 أبو يوسف ,2
 أبو تلات,2
 أحياء أخرى,2
